actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,IBBM,Burial Boxes Medium,,,,Each,Each,8.67,no,no,,19.74,0,,,,
,IBBS,Burial Boxes Small,,,,Each,Each,4.15,no,no,,10.88,0,,,,
,ICARD,Business card holder,,,,Each,Each,10.69,no,no,,0.0,0,,,,
,I685,Butorphanol 10mg/ml INJ ( Torbugesic ),,,,Milliliter,Milliliter,3.44,no,no,,7.72,36.5,,,,
,BUTT19G,Butterfly 19g,,,,Each,Each,0.44,no,no,,0.0,0,,,,
,BUTBCS21,Butterfly 21g Blood Collection Set,,,,Each,Each,1.04,no,no,,2.18,0,,,,
,IH114,Butterfly 21ga,,,,Each,Each,0.73,no,no,,0.0,0,,,,
,IH113,Butterfly 23ga,,,,Each,Each,0.84,no,no,,1.68,0,,,,
,IH116,Butterfly 25ga,,,,Each,Each,0.84,no,no,,0.0,0,,,,
,CETOCFF,C.E.T. Oral Chew Feline (Fish 30ct),,,,Each,Each,13.65,no,no,,23.65,0,,,,
,CADBBL,Cadaver Black Bags (LG) 25ct,,,,Each,Each,21.31,no,no,,21.45,0,,,,
,IH195,Cadaver Black Bags (SM) 25ct,,,,Each,Each,11.85,no,no,,11.1,0,,,,
,ISTICK,Cage sticker 69,,,,Each,Each,7.25,no,no,,0.0,0,,,,
,CALG23,Calcium Gluconate 23% INJ (230mg/mL),,,,Milliliter,Milliliter,0.01,no,no,,0.02,0,,,,
,NONBILL011,Call Owner with Update,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL178,Call to Check Out Client,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CALEV,Calvenza Equine Vaccine,,Vaccines,,Each,Each,18.53,no,no,,0.0,0,,,,
,CFTCCH,Candle for the Car Odor Elim -Car Hanger,,,,Each,Each,1.0,no,no,,4.2,0,,,,
,CEPTEXAS,Canine Enteropathogen Panel to Texas,,,,Each,Each,130.5,no,no,,293.62,0,,,,
,T950,Canine GI PCR Fast Panel,,,,Each,Each,167.99,no,no,,335.98,0,,,,
,VAX005,Canine Influenza Vaccine H3N2,BI,Vaccines,,Dose,Dose,0.0,no,no,,0.0,0,,,,
,VAX006,Canine Influenza Vaccine H3N8,BI,Vaccines,,Dose,Dose,0.0,no,no,,0.0,0,,,,
,VAX007,Canine Influenza Vaccine H3N8 & H3N2 Bivalent Vaccine,BI,Vaccines,,Dose,Dose,0.0,no,no,,0.0,0,,,,
,ICPT,Canine Parvo Antigen,,,,Each,Each,11.11,no,no,,33.6,0,,,,
,ILYM,Canine Recombitek LYME,,,,Each,Each,29.01,no,no,,50.77,0,,,,
,K9DNA,Canine Wisdom Panel Premium,,,,Each,Each,97.72,no,no,,146.58,0,,,,
,IMRAB3Y,Canine/Feline Imrab 3yr Rabies (Single),,,,Each,Each,4.19,no,no,,8.38,0,,,,
,ITURBINE,Cannister Head Push Button ( Turbine ),,,,Each,Each,103.14,no,no,,0.0,0,,,,
,VITALS08,Capillary Refill Time (CRT),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,ICLB3,Carbolime Bag 3lb ( Sodasthesia ),,,,Each,Each,7.9,no,no,,0.0,0,,,,
,CARB10MG,Carboplatin 10mg/ml,,,,Milliliter,Milliliter,1.35,no,no,,3.8,0,,,,
,CASTPAD,"Cast Padding 2""",,,,Each,Each,18.24,no,no,,13.18,0,,,,
,CASPAD4,"Cast Padding 4""",,,,Each,Each,16.74,no,no,,0.0,0,,,,
,CR,Cast Repair,,,,Each,Each,0.0,no,no,,45.5,0,,,,
,CASTTF,"Casting Tape Fiberglass 2""x4yds",,,,Each,Each,8.07,no,no,,7.09,0,,,,
,519,Castration,,,,Each,Each,0.0,no,no,,110.0,0,,,,
,519G,Castration - Canine,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,520,"Castration K-9, scrotum Removal",,,,Each,Each,0.0,no,no,,150.0,0,,,,
,572,Castration- Slal,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,521,Castration-Feline,,,,Each,Each,0.0,no,no,,95.0,0,,,,
,601,Castration-Foa,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,513,Castration-Hslc,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,514,Castration-Lcas,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,CATFLEA,Cat Flea Comb,,,,Each,Each,3.35,no,no,,0.0,0,,,,
,ICSXL,Cat Sack XL,,,,Each,Each,19.1,no,no,,0.0,0,,,,
,ISCO,Catgut #O 50M,,,,Each,Each,72.27,no,no,,0.0,0,,,,
,IEC4,Catgut 4-0 FS2 635H,,,,Each,Each,55.73,no,no,,0.0,0,,,,
,CGSC1,Catgut Suture Cassette #1 50m,,,,Each,Each,76.32,no,no,,0.0,0,,,,
,IH128,Cath ft 10fr 16in,,,,Each,Each,1.22,no,no,,0.0,0,,,,
,IH129,Cath ft 12fr 16in,,,,Each,Each,1.49,no,no,,0.0,0,,,,
,IH130,Cath ft 14fr 16in,,,,Each,Each,1.49,no,no,,0.0,0,,,,
,CFT1616,"Cath ft 16fr x 16""",,,,Each,Each,2.02,no,no,,0.0,0,,,,
,IH131,Cath ft 18fr 16in,,,,Each,Each,0.96,no,no,,0.0,0,,,,
,IH124,Cath ft 3.5fr 16in,,,,Each,Each,1.48,no,no,,0.0,0,,,,
,IH126,Cath ft 5fr 16in,,,,Each,Each,1.48,no,no,,0.0,0,,,,
,IH127,Cath ft 8fr 16in,,,,Each,Each,1.48,no,no,,0.0,0,,,,
,IH132,Cath poly 05fr 22in 12,,,,Each,Each,0.91,no,no,,0.0,0,,,,
,IH133,Cath poly 08fr 22in,,,,Each,Each,1.1,no,no,,1.15,0,,,,
,CP1022,Cath Poly 10fr x 2in,,,,Each,Each,1.1,no,no,,1.15,0,,,,
,IH136,Cath tom cat closed end ( urinary),,,,Each,Each,0.98,no,no,,0.0,0,,,,
,IH135,Cath tom cat open end (urinary),,,,Each,Each,0.93,no,no,,0.0,0,,,,
,URCATHTM,Cath Tom Cat Silicone 3.5 fr (Open End),,,,Each,Each,17.54,no,no,,0.0,0,,,,
,CTCSCE,Cath Tom Cat Silicone 3.5fr (Closed End),,,,Each,Each,13.1,no,no,,0.0,0,,,,
,CTCSSC,Cath Tom Cat Slippery Sam 3.5fr (Closed),,,,Each,Each,25.46,no,no,,0.0,0,,,,
,CTCSSO,Cath Tom Cat Slippery Sam 3.5fr (Open),,,,Each,Each,16.74,no,no,,0.0,0,,,,
,ICIC,Catheter Injection cap,,,,Each,Each,1.12,no,no,,0.0,0,,,,
,126,Catheterization - Intravenous,,,,Each,Each,0.0,no,no,,58.5,0,,,,
,127,Catheterization-Urinary,,,,Each,Each,0.0,no,no,,46.75,0,,,,
,ICDR,CDR,,,,Each,Each,12.29,no,no,,0.0,0,,,,
,NONBILL-ICEFS,Cefazolin Sodium 1gm INJ (100mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,ICEFS,Cefazolin Sodium 1gm INJ (100mg/mL),,,,Each,Each,1.71,no,no,,3.44,36.5,,,,
,NONBILL-CEFTINJ1,Ceftazidime Injection 1gm (100mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,CEFTINJ1,Ceftazidime Injection 1gm (100mg/mL),,,,Each,Each,5.96,no,no,,6.26,0,,,,
,NONBILL-CEFSOD1,Ceftiflex (Ceftiofur Sodium) Powder 1gm (50mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,CEFSOD1,Ceftiflex (Ceftiofur Sodium) Powder 1gm (50mg/mL),,,,Each,Each,20.21,no,no,,0.0,0,,,,
,CENT6,Centragard 3ct $6 Instant Rebate,,,,Each,Each,-6.0,no,no,,-6.0,0,,,,
,VITALS42,Central Venous Pressure (CVP),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,ICR,Centrifuge Rotor,,,,Each,Each,149.35,no,no,,0.0,0,,,,
,CHK,Centry Handle Kit,,,,Each,Each,22.92,no,no,,0.0,0,,,,
,CLH,Centry Lamp Holder (P/N1000088),,,,Each,Each,89.4,no,no,,0.0,0,,,,
,ICERI,Cerenia ( Maropitant ) 10mg/ml INJ,,,,Milliliter,Milliliter,11.28,no,no,,11.28,36.5,,,,
,522,Cesarean Section,,,,Each,Each,0.0,no,no,,900.0,0,,,,
,ICETCP,CET Chews - Petite 30ct,,,,Each,Each,9.85,no,no,,11.0,0,,,,
,ICHL30,CET Hextra Chews Large 30ct bag,,,,Each,Each,15.83,no,no,,33.24,0,,,,
,ICETMDHX,CET Hextra Premium Chews Med bag,,,,Each,Each,13.0,no,no,,16.88,0,,,,
,CETICB,CET Intellident Cat Bites,,,,Each,Each,6.4,no,no,,12.8,0,,,,
,CETFL30,CET Veggident Fresh (30ct Chew LG),,,,Each,Each,20.9,no,no,,36.2,0,,,,
,CETVDFM,CET Veggident Fresh Chew (30ct MED),,,,Each,Each,18.2,no,no,,31.53,0,,,,
,ICETVEXS,CET Veggiedent Fresh (30ct Chew XS),,,,Each,Each,14.38,no,no,,24.92,0,,,,
,CBAC,Chamber Brite (Autoclave Cleaner),,,,Each,Each,47.76,no,no,,0.0,0,,,,
,NONBILL015,Change Bedding,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL016,Change CRI,,,,Each,Each,,no,yes,0.00%,,0,,,,
