PIMS ID,Product,Suppliers
FLCTU,Flow Control w/ Tubing 10ml/ 4hr,Patterson Veterinary Supply
IL121,Fluorescein Stain Strips,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IFMG,Fluoride Tx Gel 4.3 oz,MWI Veterinary Supply
ISRFL,Flushing Syringe Curved Tip --12 cc,"MWI Veterinary Supply, Patterson Vet Webster"
FC6301.5,Foley Catheter 6fr x 30cm 1.5ml Balloon,MWI Veterinary Supply
FC10303,Foley Catheter10fr x 30cm 3ml Balloon,MWI Veterinary Supply
IL123,Fungassay or DTM,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
I651,Furosemide ( Lasix ) 50mg/ml INJ,"MWI Veterinary Supply, Patterson Veterinary Supply"
IS166,Gauze roll 2in,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IS167,Gauze roll 3in,"Butler Schein, MWI Veterinary Supply"
IG4,"Gauze roll 4 ""","Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
GS2X2,Gauze Square 2x2 P200,MWI Veterinary Supply
IGZ3,Gauze square 3x3 200/pkg,"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
GSUGPA,General Surgery Pack,Patterson Vet Webster
GENTINJ,Gentamicin Sulfate 100mg/ml INJ,"MWI Veterinary Supply, Patterson Veterinary Supply"
IGWF,Give With Food Labels,Vetrimark
ITCGLITT,Glitter Vet Wrap,MWI Veterinary Supply
GLVMEDK,Gloves - Medium (Kennel),MWI Veterinary Supply
GLEL,Gloves Exam Large,MWI Veterinary Supply
IS172,Gloves Exam Med,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
GES,Gloves Exam Small,MWI Veterinary Supply
IS174,Gloves surg size 6.5  50/bx,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IS175,Gloves surg size 7,"MWI Veterinary Supply, Patterson Veterinary Supply"
IS176,Gloves surg size 7.5,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
GEL,Gloves- Large (Kennel),MWI Veterinary Supply
IGLT,Gluture Tissue Adhesive,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IS182,Gowns-surgical-xlarge,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IGA,Groom Aid,"MWI Veterinary Supply, Patterson Veterinary Supply"
IHSG,Hand Soap - Gallon - (Septisol),"Butler Schein, MWI Veterinary Supply"
IHLCL,Handpiece Lubricant Champ lube,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
HFKP,Harmony Fastening Keypods (5-pod set),Harmony Fastening Systems
HGC,Health Gard Can,Bayse Janitor Supply
HG1SAMP,Heartgard Plus Chew 1-25 # SAMPLE,Boehringer Ingelheim
HG25SAMP,Heartgard Plus Chew 25-50 # SAMPLE,Boehringer Ingelheim
HG51SAMP,Heartgard Plus Chew 50-100# SAMPLE,Boehringer Ingelheim
HEMSAPP,Hemablock Syringe Applicator,MWI Veterinary Supply
ITSG,Hematocrit Tubes Statspin,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
HNBF,Hemo Nate Blood Filter,MWI Veterinary Supply
HEP1000,Heparin 1000 IU/ml INJ,MWI Veterinary Supply
HEP5000,Heparin 5000 units/ml INJ,MWI Veterinary Supply
HESIVFP,Heska Vet/IV 2.2 Infusion Pump (Hospira),Patterson Veterinary Supply
HETA250,Hetastarch 250 ml,Patterson Veterinary Supply
IHETA,Hetastarch 500 ml,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
8873,Hill's Feline Adult Indoor Chicken 15.5#,Hill's Pet Nutrition Inc.
6247,Hill's Feline C/D Chicken 4 lb bag,Hill's Pet Nutrition Inc.
607887,Hill's Feline K/D Starter Kit,Hill's Pet Nutrition Inc.
605088,Hill's K-9 K/D Starter Kit,Hill's Pet Nutrition Inc.
608476,Hill's K9 Z/D Low Fat 13oz Can,Hill's Pet Nutrition Inc.
608499,Hill's K9 Z/D Low Fat 8# Bag,Hill's Pet Nutrition Inc.
6238,Hills Feline C/D M/Car Chicken 5.5oz Can,Hill's Pet Nutrition Inc.
3386,Hills Feline C/D M/Car Chk/Veg Stw 2.9oz,Hill's Pet Nutrition Inc.
6239,Hills Feline C/D M/Car O/Fish 5.5oz Can,Hill's Pet Nutrition Inc.
3385,Hills Feline C/D M/Car Tun/Veg Stw 2.9oz,Hill's Pet Nutrition Inc.
603930,Hills Feline C/D M/Stress 4# Bag,Hill's Pet Nutrition Inc.
3387,Hills Feline C/D M/Strs Ckn/Veg Stw 2.9o,Hill's Pet Nutrition Inc.
604199,Hills Feline GI Biome 4# Bag,Hill's Pet Nutrition Inc.
604200,Hills Feline GI Biome 8.5# Bag,Hill's Pet Nutrition Inc.
604202,Hills Feline GI Biome Ckn Stew 2.9oz Can,Hill's Pet Nutrition Inc.
4629,Hills Feline I/D 4# Bag,Hill's Pet Nutrition Inc.
4628,Hills Feline I/D Chicken Pate 5.5oz Can,Hill's Pet Nutrition Inc.
3392,Hills Feline I/D Ckn/Veg Stew 2.9oz Can,Hill's Pet Nutrition Inc.
7252,Hills Feline K/D Chicken 4# Bag,Hill's Pet Nutrition Inc.
8696,Hills Feline K/D Chicken 8.5# Bag,Hill's Pet Nutrition Inc.
9453,Hills Feline K/D Chicken Pate 5.5oz Can,Hill's Pet Nutrition Inc.
3393,Hills Feline K/D Ckn/Veg Stew 2.9oz Can,Hill's Pet Nutrition Inc.
603634,Hills Feline K/D Early Support Ckn 4# Ba,Hill's Pet Nutrition Inc.
10375,Hills Feline K/D O/Fish 4# Bag,Hill's Pet Nutrition Inc.
10376,Hills Feline K/D O/Fish 8.5# Bag,Hill's Pet Nutrition Inc.
3394,Hills Feline K/D Tun/Veg/ Stew 2.9oz Can,Hill's Pet Nutrition Inc.
2698,Hills Feline K/D Tuna Pate 5.5oz Cans,Hill's Pet Nutrition Inc.
8878,Hills Feline SD Adt Sens Skin/Stom 15.5#,Hill's Pet Nutrition Inc.
10407,Hills Feline SD Adult 7+ Chicken 16# Ba,Hill's Pet Nutrition Inc.
4046,Hills Feline SD Adult Sens Stomach 20#,Hill's Pet Nutrition Inc.
6159,Hills Feline W/D Chicken 4# Bag,Hill's Pet Nutrition Inc.
9455,Hills Feline W/D Minced Chkn 5.5oz Can,Hill's Pet Nutrition Inc.
8728,Hills Feline Z/D 8.5# Bag,Hill's Pet Nutrition Inc.
5670,Hills Feline/K9 A/D 5.5oz Can,Hill's Pet Nutrition Inc.
7001,Hills K9 C/D Chicken 13oz Can,Hill's Pet Nutrition Inc.
3384,Hills K9 C/D Chk/Veg Stew 12.5oz Can,Hill's Pet Nutrition Inc.
3388,Hills K9 C/D M/C Ckn/Veg Stew 5.5oz Can,Hill's Pet Nutrition Inc.
10111,Hills K9 C/D M/Car Chicken 8.5# Bag,Hill's Pet Nutrition Inc.
5347,Hills K9 D/D Duck & Potatoe 8# Bag,Hill's Pet Nutrition Inc.
604197,Hills K9 GI Biome 8# Bag,Hill's Pet Nutrition Inc.
605362,Hills K9 GI Biome Ckn Stew 12.5oz Can,Hill's Pet Nutrition Inc.
604198,Hills K9 GI Biome with Chicken 16# Bag,Hill's Pet Nutrition Inc.
8618,Hills K9 I/D Chicken 8.5# Bag,Hill's Pet Nutrition Inc.
3389,Hills K9 I/D Ckn/Veg Stew 12.5oz Can,Hill's Pet Nutrition Inc.
3390,Hills K9 I/D Ckn/Veg Stew 5.5oz Can,Hill's Pet Nutrition Inc.
10423,Hills K9 I/D LF Ckn/Veg Stew 12.5oz Can,Hill's Pet Nutrition Inc.
3391,Hills K9 I/D LF Ckn/Veg Stew 5.5oz Can,Hill's Pet Nutrition Inc.
10404,Hills K9 I/D LowFat 27.5# Bag,Hill's Pet Nutrition Inc.
1861,Hills K9 I/D LowFat 8.5# Bag,Hill's Pet Nutrition Inc.
1863,Hills K9 I/D LowFat Pate 13oz Can,Hill's Pet Nutrition Inc.
7008,Hills K9 I/D Turkey Pate 13oz Can,Hill's Pet Nutrition Inc.
IKDK20,Hills K9 K/D 17.6# Bag,Hill's Pet Nutrition Inc.
8621,Hills K9 K/D 8.5# Bag,Hill's Pet Nutrition Inc.
7010,Hills K9 K/D Chicken 13oz Can,Hill's Pet Nutrition Inc.
10022,Hills K9 K/D Chicken 27.5# Bag,Hill's Pet Nutrition Inc.
3395,Hills K9 K/D Ckn/Veg Stew 12.5oz Can,Hill's Pet Nutrition Inc.
7011,Hills K9 L/D 13oz Can,Hill's Pet Nutrition Inc.
607661,Hills K9 ONC Cancer Care Ckn 6# Bag,Hill's Pet Nutrition Inc.
607662,Hills K9 ONC Cancer Care Ckn Stew 12.5oz,Hill's Pet Nutrition Inc.
7014,Hills K9 R/D 12.3oz Can,Hill's Pet Nutrition Inc.
8624,Hills K9 R/D 8.5# Bag,Hill's Pet Nutrition Inc.
603916,Hills K9 SD Adult AF Pro Pk 35# Bag,Hill's Pet Nutrition Inc.
603768,Hills K9 SD Adult Sens Skin/Stom 35# Bag,Hill's Pet Nutrition Inc.
4005,Hills K9 T/D Small Bites 5# Bag,Hill's Pet Nutrition Inc.
7017,Hills K9 W/D 13oz Can,Hill's Pet Nutrition Inc.
8602,Hills K9 W/D 27.5# Bag,Hill's Pet Nutrition Inc.
8671,Hills K9 W/D 8.5# Bag,Hill's Pet Nutrition Inc.
10129,Hills K9 W/D Chk/Veg Stew 12.5oz Can,Hill's Pet Nutrition Inc.
10128,Hills K9 W/D Ckn/Veg Stew 5.5oz Can,Hill's Pet Nutrition Inc.
10559,Hills K9 Z/D 7# Bag,Hill's Pet Nutrition Inc.
7018,Hills K9 Z/D Ultra 13oz Can,Hill's Pet Nutrition Inc.
IZDK18,Hills K9 Z/D Ultra 17.6# Bag,Hill's Pet Nutrition Inc.
IZDK27,Hills K9 Z/D Ultra 25# Bag,"Hill's Pet Nutrition Inc., Tavares Animal Hospital"
7901,Hills K9 Z/D Ultra 8# Bag,Hill's Pet Nutrition Inc.
HLFS,Hippie Love Fabric Spray,Specialty Pet Products
INKBLK,HP 56 Deskjet  Ink - Black,Office Product Solutions
INKCLR,HP 57 Deskjet Ink Color,Office Product Solutions
IHN,Humidifier Nebulizer,Butler Schein
IHUMR,Humulin-R Insulin U-100 10ml,Wal Mart Pharmacy
IHPG,Hydrogen Peroxide Gal,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
I662,Hydromorphone 2mg/ml INJ,"Butler Schein, MWI Veterinary Supply"
ILDLSHW,I Lid n Lash Wipes (60 count),"I-MED Pharma, MWI Veterinary Supply"
ITTSTFT,I-Tear Test Strip Tear Function Test,MWI Veterinary Supply
3923,Iams Feline Active Mature HBall 6.8# bag,Phillips Pet Food
50009,Iams Feline Prof Active 10.8# Bag,Henry Schein
IIB400,Ibuprofen 800mg (500ct),"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IIMBAG,IM Pin Bag,Patterson Vet Webster
IM3ELEVS,iM3 Ergo Winged Elevator 5 Piece Set,Patterson Veterinary Supply
IDCCS,Imagyst Dig Cytology Cover Slips,Zoetis/Pfizer Inc
IIMO,Immersion Oil Type A ( 4 OZ Bottle),"Butler Schein, MWI Veterinary Supply"
IIR1Y,Imrab Rabies Vaccine (1 yr) K9- Feline,"Boehringer Ingelheim, Merial, Patterson Vet Webster, Patterson Veterinary Supply"
VSRAPCPL,In House Abaxis Vetscan Rapid CPL Test,"Patterson Veterinary Supply, Zoetis/Pfizer Inc"
IFP8.9,Infant Flat Probe 8.9 MHZ,Parks Medical Sales
IFLF55,Inova Feline CC Low Fat 5.5oz cans,Phillips Pet Food
IS205,Instrument milk gal,MWI Veterinary Supply
INTRWL,Instrument Tray with Lid,MWI Veterinary Supply
SXWRAP,Instrument wrapper  30 X 30,"KVP Kong, MWI Veterinary Supply, Patterson Vet Webster"
ISRI,Insulin Sryinges Box 100,"Butler Schein, MWI Veterinary Supply, Medcare Products, Patterson Vet Webster"
ISU40310,Insulin Syringes 29G 0.30cc U-40 100ct,MWI Veterinary Supply
II-100,Insulin syringes 29g 0.3cc U-100 100ct,"MWI Veterinary Supply, Patterson Veterinary Supply"
ISU40,Insulin Syringes 29G 0.5cc U-40 100ct,MWI Veterinary Supply
ITPORT,Intravenous T-port,"MWI Veterinary Supply, Patterson Veterinary Supply"
ITAPE,Invisible Tape 3/4 X 1296 in,Office Product Solutions
IISOF2,Isoflurane 250ml bottle,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IVBAD,IV Bag Access Device,"MWI Veterinary Supply, Patterson Veterinary Supply"
IVE42,"IV Extension Set 42""",MWI Veterinary Supply
IVEXFLOW,IV Extension Set with Flow Rate Regulato,"MWI Veterinary Supply, Patterson Veterinary Supply"
IIVE,"IV Extension Sets - 30"" inch","Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IVSCFC3,IV Infusion Set 3' Core Flex-Coil,"MWI Veterinary Supply, Patterson Veterinary Supply"
IVSCFC5,IV Infusion Set 5' Core Flex-Coil,MWI Veterinary Supply
IVS103L,"IV Set Line 103"" 15 Drip",MWI Veterinary Supply
IIS3,IV Stabilizer 3 Pack,MWI Veterinary Supply
IJL,J Loop,Butler Schein
IJP,Jeltrate Plus 1lb,Henry Schein
JORASPSU,Jorgensen Aspiration Suction Unit,Patterson Veterinary Supply
JFM,Jorgenson Flow Meter,Butler Schein
JVGSK,JorVet Gram Stain Kit (4x250 ml Bott.),MWI Veterinary Supply
JORVOXYR,JorVet Oxygen Regulator,Patterson Veterinary Supply
IJTK,JT Steel Handle Needle Kit,Dr Xies Jing Tang
JWDNCL,JW Deluxe Soft Grip Nail Clipper- Large,Ryans Pet Supplies
JWDNCM,JW Deluxe Soft Grip Nail Clipper- Medium,Ryans Pet Supplies
IKW62,K Wire .062,MWI Veterinary Supply
IKIR,Keep In Refrigerator Labels,"Patterson Veterinary Supply, Vetrimark"
KKSC5G,Kennel Kare SC 5 Gallon,Patterson Veterinary Supply
KKSCG,Kennel Kare SC Gallon,Patterson Veterinary Supply
I648,Ketamine 100mg/ml INJ,"Butler Schein, Henry Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
KETODSTI,Keto-Diastix Strips 100ct,"MWI Veterinary Supply, Patterson Veterinary Supply"
IKW,KIM WIPES,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
K4CUSCK,Kit4Cat Urine Sample Collection Kit,"MWI Veterinary Supply, Patterson Veterinary Supply"
KMR5,KMR 5 lb,MWI Veterinary Supply
IKMR,KMR Liquid milk replacer,MWI Veterinary Supply
IKMRP,KMR Powder 12oz,MWI Veterinary Supply
KMR28,KMR Powder 28oz,MWI Veterinary Supply
KBSA5.5,"Knowles Bandage Scissors Angled 5.5""",MWI Veterinary Supply
KOECG,KOE Concentrate (Gallon),MWI Veterinary Supply
KOEFS,KOE Fresh Scent 16oz,MWI Veterinary Supply
IKOOL,Kool Lube,"MWI Veterinary Supply, Patterson Vet Webster"
KVPSPLIN,KVP Splint Starter Kit- Caerus,KVP Kong
IKS,Kwik Stop,"Butler Schein, MWI Veterinary Supply"
KSSG4OZ,Kwik Stop Styptic Gel 4oz,MWI Veterinary Supply
LACNCOL,"Lacrimal Needle, Curved w/ Olive Tip 23g",MWI Veterinary Supply
LPIK,Lactate Plus Individual Kit,Sports Resource Group
ILRI,Lactated Ringers 1 Liter,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ILB1,Laryn Blade #1,Patterson Vet Webster
ILH,Laryng Handle,Patterson Vet Webster
ILLS,Lavender lemonade Spray,Bayse Janitor Supply
LIB10,Librela 10mg/ml Vial 22.2 - 44.1#,Zoetis/Pfizer Inc
LIB15,Librela 15mg/ml Vial 44.2 - 66.1#,Zoetis/Pfizer Inc
LIB20,Librela 20mg/ml Vial 66.2 - 88.2#,Zoetis/Pfizer Inc
LIB30,Librela 30mg/ml Vial 88.3 - 132.3#,Zoetis/Pfizer Inc
LIB5,Librela 5mg/ml Vial 11 - 22.1#,Zoetis/Pfizer Inc
LC415,Lidocaine 4% Cream ( 15g ),MWI Veterinary Supply
ILID50,Lidocaine HCL 2% 20mg/ml INJ,MWI Veterinary Supply
ILJ,Lidocaine Jelly,"Butler Schein, MWI Veterinary Supply"
LB12V75W,Light Bulb 12V 75W (Wet Sink),MWI Veterinary Supply
IM107,Liners trash (White) 30x36.62ml,"Bayse Janitor Supply, Cypress Supply Inc"
LBS5.5,"Lister Bandage Scissors 5.5""",MWI Veterinary Supply
ILOE,Loe Odor Eliminator Concentrate,MWI Veterinary Supply
IKY5,Lube 5 oz,"MWI Veterinary Supply, Patterson Vet Webster"
IKY,Lube jelly 3g 12,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IMAGFILE,Magazine File,American Animal Hospital
IMTE,Malaseb Towelettes Each,Butler Schein
I653,Mannitol 20% INJ,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
MANHON,Manuka Honey Dressing 10x12.5cm,Patterson Veterinary Supply
MSLLA,Masimo SS ISA Sample Line LA,Digicare Biomedical Tech
MSLSA,Masimo SS ISA Sample Line SA,Digicare Biomedical Tech
IS213,Mask surgeons W ear loop 50ct,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
MAXGRD2,Maxi Guard 2oz Bottle,Patterson Veterinary Supply
MGOW100,MaxiGuard Oral Cleansing Wipes 100ct,MWI Veterinary Supply
MHNH8,"Mayo Hegar Needle Holder 8""",Patterson Veterinary Supply
MPSCXS,Medical Pet Shirt Cat XS,MWI Veterinary Supply
MPSSP,Medical Pet Shirt Starter Pack,MWI Veterinary Supply
MPSXXS,Medical Pet Shirt XXS,MWI Veterinary Supply
IMVB13,Medicine Vial 13Dr,Patterson Vet Webster
IMVB16,Medicine Vial 16DR,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IMVB8,Medicine Vial 8Dram,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IMVB10,Medicine Vial B-10,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IMVB20,Medicine Vial Lg B20,"Butler Schein, MWI Veterinary Supply"
IMVB40,Medicine Vials 40DR,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IMV60DR,Medicine Vials 60DR,Patterson Vet Webster
IMVB6,Medicine Vials B6,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
ILOXI,Meloxicam 5mg/ml INJ,"Boehringer Ingelheim, MWI Veterinary Supply, Patterson Veterinary Supply"
MENPRO1,Meniscus Probe (1mm),Patterson Veterinary Supply
METH10,Methadone 10mg/ml INJ,MWI Veterinary Supply
IREG2,Metoclopramide ( Reglan ) 5mg/ml INJ,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IFLAI,Metronidazole ( Flagyl ) 5mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
MICTRIZ1,Miconahex + Triz Shampoo 16oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
MTSG,Miconahex + Triz Shampoo Gallon,"MWI Veterinary Supply, Patterson Veterinary Supply"
IMUC,Micro Universal Curette,"Butler Schein, Patterson Vet Webster, Patterson Veterinary Supply"
IL171,Microscope bulb 6v - 20 W,"MWI Veterinary Supply, Patterson Vet Webster"
ICS,Microscope Coverslips,"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
MOCK,Microscope Optics Cleaning Kit,MWI Veterinary Supply
MICBBH4,"Microsurgical Beaver Blade Handle 4""",MWI Veterinary Supply
I690,Midazolam 5mg/ml INJ,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
MMPFT,Midmark Poly-Fill Tube (per inch),MWI Veterinary Supply
MMQF,Midmark Quick Fitting 1/4,MWI Veterinary Supply
MMS,Midmark Solenoid,MWI Veterinary Supply
MILAE,"MILA 14Fr 30"" Esophagostomy Feeding Tube","MWI Veterinary Supply, Mila International"
MFDNCL,Millers Forge Dog Nail Clipper (Large),"MWI Veterinary Supply, Patterson Veterinary Supply, Ryans Pet Supplies"
MWE3MM,Miltex Winged Elevator 3mm,Patterson Veterinary Supply
IMO,Mineral Oil (gallon),"Butler Schein, MWI Veterinary Supply"
NONBILL-IMITOX,Mitoxantrone 2 mg/ml (10ml),MWI Veterinary Supply
IMITOX,Mitoxantrone 2 mg/ml (10ml),MWI Veterinary Supply
MOLTPE,Molt Periosteal Elevator,Patterson Veterinary Supply
IMON3,Monocryl  3-O,"Butler Schein, MWI Veterinary Supply"
IMON2,Monocryl 2-O,MWI Veterinary Supply
MMNS80,Monofilament Mason Nylon Suture 80#,Patterson Veterinary Supply
MFNS100,Monofilament Nylon Suture 100#,MWI Veterinary Supply
MWS4/0,"Monoweb Suture 4/0 36"" (FS-2)",Patterson Veterinary Supply
IMB,Mop Bucket,Bayse Janitor Supply
IMH,Mop Handle,Bayse Janitor Supply
IM109,Mop head,Bayse Janitor Supply
IMFEK,Muffler Filter Element Kit,Patterson Vet Webster
MDVA,MultiDose Vial Adapter,"MWI Veterinary Supply, Patterson Veterinary Supply"
INM7,Muzzels - Nylon Set,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
MBAS,Muzzle Baskerville All Sizes,MWI Veterinary Supply
MS,Muzzle Nylon small,MWI Veterinary Supply
MYCOFT,Mycodex Flea and Tick Shampoo 12oz,MWI Veterinary Supply
INSC,Nail Scissors Cat,MWI Veterinary Supply
IRNR,Nail Trimmers Regular,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
INALS,Nail Trimmers Sm.,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
I665,Naloxone 0.4mg/ml INJ,"Butler Schein, MWI Veterinary Supply"
IND18,Needle 18gx1 100,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IND20,Needle 20gx1 100 terumo,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IH167,Needle 22gx1.5 100 Terumo,"MWI Veterinary Supply, Patterson Veterinary Supply"
IND22,Needle 22gx3/4 100 terumo,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IH170,Needle 25 g x 5/8 100 terumo,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
INQG,Neutral Q Gallon,Bayse Janitor Supply
NGCC1.8,Nexgard Combo for Cats 1.8-5.5 # SAMPLE,Boehringer Ingelheim
NGCC5.6,Nexgard Combo for Cats 5.6-16.5 # SAMPLE,Boehringer Ingelheim
NG10SAMP,Nexgard Flea/Tick Chew 10-24 # SAMPLE,Boehringer Ingelheim
NG24SAMP,Nexgard Flea/Tick Chew 24-60 # SAMPLE,Boehringer Ingelheim
NG4SAM,Nexgard Flea/Tick Chew 4-10 # SAMPLE,Boehringer Ingelheim
NG60SAMP,Nexgard Flea/Tick Chew 60-120 # SAMPLE,Boehringer Ingelheim
MGP1733,Nexgard Plus for Dogs 17.1-33# SAMPLE,Boehringer Ingelheim
NGP3366,Nexgard Plus for Dogs 33.1-66# SAMPLE,Boehringer Ingelheim
NGP4,Nexgard Plus for Dogs 4-8 # SAMPLE,Boehringer Ingelheim
NGP33132,Nexgard Plus for Dogs 66.1-132# SAMPLE,Boehringer Ingelheim
NGP817,Nexgard Plus for Dogs 8.1-17# SAMPLE,Boehringer Ingelheim
IH172,Nolvasan solution gal,Butler Schein
NRAV7128,Non Rebreathing Adapter V7128,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
INRS,Non Rebreathing System,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
INORI,Normosol-R 1 Liter,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
10430,Nutro Max Adult Chicken & Rice 15# bag,Phillips Pet Food
65910230,Nutro Max Feline Chic/Lamb 16# bag,Phillips Pet Food
10431,Nutro Max Puppy Chic/Rice 15# bag,Phillips Pet Food
IORV,O-Ring Vitron 2pk,Grainger
CONTACT,Oasis Corneal Shield 72hr Contact,I-MED Pharma
OBLCG,OB Lube Concentrate Gallon,MWI Veterinary Supply
IOCR,Odor Control Refill,Bayse Janitor Supply
OHNH7.5,"Olsen-Hegar Needle Holder 7.5""",MWI Veterinary Supply
OLYETXGU,Olympic Exam-Treatment Gurney,Patterson Veterinary Supply
IONDI,Ondansetron (Zofran) 2mg/ml INJ,"MWI Veterinary Supply, Patterson Veterinary Supply"
ONSINJ,Onsior 20mg/ml (Robenacoxib) INJ,"MWI Veterinary Supply, Patterson Veterinary Supply"
IOS10,Oral Dosing Syringe 10ml/cc,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IOS1,Oral Dosing Syringe 1ml/cc,"MWI Veterinary Supply, Patterson Veterinary Supply"
IOS3,Oral Dosing Syringe 3ml/cc,"MWI Veterinary Supply, Patterson Veterinary Supply"
ODS5,Oral Dosing Syringe 5ml/cc,MWI Veterinary Supply
OBA.5,Orapac Bottle W Adapt 0.5oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
IBAO,Orapac Bottle w Adapt 1oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
IBAO2,Orapac Bottle w Adapt 2oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
IOBAO4,Orapac Bottle w Adapt 4oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
IOAB8,Orapac Bottle w Adapt 8oz,MWI Veterinary Supply
ORAVCL,Oravet Chew Large 50# & over,"Boehringer Ingelheim, Merial"
ORAVCM,Oravet Chew Medium 25-50#,"Boehringer Ingelheim, Merial"
OCM14CT,Oravet Chew Medium 25-50# (14ct Bag),Boehringer Ingelheim
ORAVCS,Oravet Chew Small 10-24#,"Boehringer Ingelheim, MWI Veterinary Supply, Merial"
OCS14CT,Oravet Chew Small 10-24# (14ct Bag),Boehringer Ingelheim
ORAVCXS,Oravet Chews Under 10#,"Boehringer Ingelheim, Merial"
OGH9,Orchard Grass Hay 9 LB Bag,Patterson Veterinary Supply
IOTB,Otiscope Battery 3.5V Welch,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IOH,Otiscope handle,Butler Schein
IOTP,Otiscope Top Section 3.5v Welch Allen,"Butler Schein, Patterson Veterinary Supply"
IOTOBULB,Otoscope Bulb 03100,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IOT,Otoscope Top,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
OXCF,Oxbow Chinchilla Food 10lb,Patterson Vet Webster
ECOSTRAW,Oxbow Eco Straw Litter 20lb,Patterson Veterinary Supply
IOXTRIP,Oxygen Delivery and Hazmat fee,Michigan State University
ISMTANK,Oxygen Tank Rental (small),Michigan State University
ILGTANK,Oxygen Tank Rental Large,Michigan State University
IOHA,Oxyhood Assortment,"Butler Schein, Patterson Veterinary Supply"
IOXY10,Oxytocin 20Units/ml INJ,"Butler Schein, MWI Veterinary Supply"
IPCKTAPE,Packing tape,Office Product Solutions
IEYEBULB,Panoptic Bulb 03800,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
ICFOLD,Paper Towels C-Fold (case),"Bayse Janitor Supply, Cypress Supply Inc"
PAPTRIC,Paper towels Tri Fold- Case,Bayse Janitor Supply
PAPTRI,Paper Towels Tri-Fold,Bayse Janitor Supply
IF105,Paper-copy machine,Office Product Solutions
IM111,Paper-toilet,"Bayse Janitor Supply, Cypress Supply Inc"
