PIMS ID,Product,Suppliers
BPC2,Blood Pressure Cuff #2,"MWI Veterinary Supply, Patterson Veterinary Supply"
BPC4,Blood Pressure Cuff #4,MWI Veterinary Supply
IBPC5,Blood Pressure Cuff #5,MWI Veterinary Supply
IBTL,Blood Tubes Lith-Hep,"Butler Schein, IDEXX Laboratories, MWI Veterinary Supply, Patterson Veterinary Supply"
BTCLAR,BLOXR Thyroid Collar (Large),Patterson Veterinary Supply
BTCMED,BLOXR Thyroid Collar (Medium),Patterson Veterinary Supply
BLUMOI,Bluminator Opthalmic Illuminator,Patterson Veterinary Supply
IBOL2,"Bolite 2"" J574A",MWI Veterinary Supply
BASS2.7,Bone Anchor Stainless Steel 2.7mm,Patterson Vet Webster
IS116,Bone pin .035 K wire,"MWI Veterinary Supply, Patterson Veterinary Supply"
IS119,Bone pin .045 K wire,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IS117,Bone pin 1/16,Butler Schein
IBP3/32,Bone Pin 3/32,MWI Veterinary Supply
IS122,Bone pin 5/64,MWI Veterinary Supply
IBW20,Bone wire 20ga,Butler Schein
BR4BOT,Boston Round 4oz Bottle (25ct),MWI Veterinary Supply
IBR.5,Boston Rounds 0.5oz (25ct),VacRx
IBR8,Boston Rounds 8oz (25ct),"MWI Veterinary Supply, VacRx"
BYRT16OZ,Boston Yorker Bottle Red Top 16OZ,MWI Veterinary Supply
IB2,Bottle 2 oz,"Butler Schein, MWI Veterinary Supply"
IH108,Bottle blood ACD 250ml,Butler Schein
IH109,Bottle blood ACD 500ml,Butler Schein
BYR4,Bottle Yorker Red Top 4oz,MWI Veterinary Supply
IBYRT,Bottle Yorker Red Top 8oz,MWI Veterinary Supply
BOTVAX,BotVax B Clostridium Bot. Type B 10ml,MWI Veterinary Supply
IVBC,Buisness Cards,Romine Reprographics
BULBLARY,Bulb Laryngoscope 2.5V Vacuum,MWI Veterinary Supply
I664,Bupivicaine ( Marcaine ) 0.5% 5mg/ml INJ,MWI Veterinary Supply
SIM1.8,Buprenorphine ( Simbadol ) 1.8mg/ml INJ,"MWI Veterinary Supply, Patterson Veterinary Supply"
BUPZORS,Buprenorphine ( Zorbium ) 2.6-6.6# Tube,"MWI Veterinary Supply, Patterson Veterinary Supply"
BUPZORL,Buprenorphine ( Zorbium ) 6.6-16.5# Tube,"MWI Veterinary Supply, Patterson Veterinary Supply"
I660,Buprenorphine 0.3mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
BUPIN06,Buprenorphine 0.6mg/ml INJ,Roadrunner Pharmacy
I CAS,Burial Box intro kit -,Patterson Vet Webster
IBBM,Burial Boxes Medium,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IBBS,Burial Boxes Small,"Butler Schein, MWI Veterinary Supply"
ICARD,Business card holder,Office Product Solutions
I685,Butorphanol 10mg/ml INJ ( Torbugesic ),"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Veterinary Supply"
BUTT19G,Butterfly 19g,MWI Veterinary Supply
BUTBCS21,Butterfly 21g Blood Collection Set,MWI Veterinary Supply
IH114,Butterfly 21ga,"Butler Schein, MWI Veterinary Supply"
IH113,Butterfly 23ga,"MWI Veterinary Supply, Patterson Veterinary Supply"
IH116,Butterfly 25ga,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
CETOCFF,C.E.T. Oral Chew Feline (Fish 30ct),MWI Veterinary Supply
CADBBL,Cadaver Black Bags (LG) 25ct,MWI Veterinary Supply
IH195,Cadaver Black Bags (SM) 25ct,MWI Veterinary Supply
ISTICK,Cage sticker 69,"Para Medical Labels, Vetrimark"
CALG23,Calcium Gluconate 23% INJ (230mg/mL),MWI Veterinary Supply
CALEV,Calvenza Equine Vaccine,MWI Veterinary Supply
CFTCCH,Candle for the Car Odor Elim -Car Hanger,Specialty Pet Products
ICPT,Canine Parvo Antigen,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ILYM,Canine Recombitek LYME,"Boehringer Ingelheim, Butler Schein, MWI Veterinary Supply, Merial, Patterson Veterinary Supply"
IMRAB3Y,Canine/Feline Imrab 3yr Rabies (Single),"Boehringer Ingelheim, Merial, Patterson Veterinary Supply"
ITURBINE,Cannister Head Push Button ( Turbine ),"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
ICLB3,Carbolime Bag 3lb ( Sodasthesia ),MWI Veterinary Supply
CARB10MG,Carboplatin 10mg/ml,MWI Veterinary Supply
CASTPAD,"Cast Padding 2""","MWI Veterinary Supply, Patterson Veterinary Supply"
CASPAD4,"Cast Padding 4""","MWI Veterinary Supply, Patterson Veterinary Supply"
CASTTF,"Casting Tape Fiberglass 2""x4yds",MWI Veterinary Supply
CATFLEA,Cat Flea Comb,"MWI Veterinary Supply, Patterson Veterinary Supply"
ICSXL,Cat Sack XL,MWI Veterinary Supply
ISCO,Catgut #O 50M,"Butler Schein, MWI Veterinary Supply"
IEC4,Catgut 4-0 FS2 635H,MWI Veterinary Supply
CGSC1,Catgut Suture Cassette #1 50m,MWI Veterinary Supply
IH128,Cath ft 10fr 16in,MWI Veterinary Supply
IH129,Cath ft 12fr 16in,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IH130,Cath ft 14fr 16in,MWI Veterinary Supply
CFT1616,"Cath ft 16fr x 16""",MWI Veterinary Supply
IH131,Cath ft 18fr 16in,"MWI Veterinary Supply, Patterson Veterinary Supply"
IH124,Cath ft 3.5fr 16in,MWI Veterinary Supply
IH126,Cath ft 5fr 16in,"Butler Schein, MWI Veterinary Supply"
IH127,Cath ft 8fr 16in,"Butler Schein, MWI Veterinary Supply"
IH132,Cath poly 05fr 22in 12,"Butler Schein, MWI Veterinary Supply"
IH133,Cath poly 08fr 22in,"Butler Schein, MWI Veterinary Supply"
CP1022,Cath Poly 10fr x 2in,MWI Veterinary Supply
IH136,Cath tom cat closed end ( urinary),"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IH135,Cath tom cat open end (urinary),"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
URCATHTM,Cath Tom Cat Silicone 3.5 fr (Open End),"MWI Veterinary Supply, Patterson Vet Webster"
CTCSCE,Cath Tom Cat Silicone 3.5fr (Closed End),MWI Veterinary Supply
CTCSSC,Cath Tom Cat Slippery Sam 3.5fr (Closed),"MWI Veterinary Supply, Patterson Veterinary Supply"
CTCSSO,Cath Tom Cat Slippery Sam 3.5fr (Open),MWI Veterinary Supply
ICIC,Catheter Injection cap,MWI Veterinary Supply
ICDR,CDR,Office Product Solutions
ICEFS,Cefazolin Sodium 1gm INJ (100mg/mL),"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
CEFTINJ1,Ceftazidime Injection 1gm (100mg/mL),MWI Veterinary Supply
CEFSOD1,Ceftiflex (Ceftiofur Sodium) Powder 1gm (50mg/mL),MWI Veterinary Supply
ICR,Centrifuge Rotor,MWI Veterinary Supply
CHK,Centry Handle Kit,Patterson Veterinary Supply
CLH,Centry Lamp Holder (P/N1000088),MWI Veterinary Supply
ICERI,Cerenia ( Maropitant ) 10mg/ml INJ,"Allivet, Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
ICETCP,CET Chews - Petite 30ct,"Butler Schein, Patterson Vet Webster"
ICHL30,CET Hextra Chews Large 30ct bag,MWI Veterinary Supply
ICETMDHX,CET Hextra Premium Chews Med bag,"Patterson Vet Webster, Patterson Veterinary Supply"
CETICB,CET Intellident Cat Bites,MWI Veterinary Supply
CETFL30,CET Veggident Fresh (30ct Chew LG),"MWI Veterinary Supply, Patterson Veterinary Supply"
CETVDFM,CET Veggident Fresh Chew (30ct MED),MWI Veterinary Supply
