actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,NONBILL208,Remove Fecal Foley Catheter,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL110,Remove Holter Monitor,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL111,Remove IV Catheter,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL115,Remove Urinary Catheter,,,,Each,Each,,no,yes,0.00%,,0,,,,
,ETE,Repair of Eversion of Third Eyelid,,,,Each,Each,0.0,no,no,,310.0,0,,,,
,NONBILL118,Restart IV Fluids After Transfusion,,,,Each,Each,,no,yes,0.00%,,0,,,,
,RESPD,Restock Pill Drawer,,,,Each,Each,,no,yes,0.00%,,0,,,,
,RSD,Restock Syringe Drawers (Pharmacy & Treatment),,,,Each,Each,,no,yes,0.00%,,0,,,,
,RXF,RX fee,,,,Each,Each,0.0,no,no,,5.0,0,,,,
,RX-REJJC30,RX Rejensa Joint Care Chew 30ct Tub,,,,Each,Each,32.31,no,no,,64.62,0,,,,
,RX-REJJCC60,RX Rejensa Joint Care Chew 60ct Tub,,,,Each,Each,67.28,no,no,,134.56,0,,,,
,RX-ITRIZ16,RX TRIZEDTA Flush 16oz Bottle,,,,Each,Each,24.9,no,no,,49.8,0,,,,
,SC,Sanitary clip,,,,Each,Each,0.0,no,no,,24.0,0,,,,
,NONBILL165,Save Blood Tubes,,,,Each,Each,,no,yes,0.00%,,0,,,,
,236,Schirmer tear test (Record Vitals),,NOT FOR TRACKING,,Each,Each,0.0,no,no,,42.5,0,,,,
,VITALS122,Schirmer Tear Test (STT) - OD,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,VITALS123,Schirmer Tear Test (STT) - OS,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,SHIPRX,Shipping charges,,,,Each,Each,0.0,no,no,,3.0,0,,,,
,SPICA,Spica Splint (Fiberglass),,,,Each,Each,0.0,no,no,,173.0,0,,,,
,SNR,Stenotic Nares Repair,,,,Each,Each,0.0,no,no,,300.0,0,,,,
,STOPFECA,Stop Fecal,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,STOPWELL,Stop Wellness Exam,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,SRSB,Stress Reducing Supplement for Boarding,,,,Each,Each,0.0,no,no,,2.25,0,,,,
,142S,Suture Removal,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,SWEEP,Sweep (Treatment/SX/Lab/Pharmacy/X-Ray/Autoclave),,,,Each,Each,,no,yes,0.00%,,0,,,,
,VITALS43a,T-FAST Scan,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,TCF,Technician Consult Fee,,,,Each,Each,0.0,no,no,,21.5,0,,,,
,VITALS16,Total Ins (critical care),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,VITALS17,Total Outs (critical care),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,TOXI,Toxiban Administration (Orogastric Tube),,,,Each,Each,0.0,no,no,,57.5,0,,,,
,VITALS70,Transfusion - Albumin (Canine),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS71,Transfusion - Albumin (Human),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS66,Transfusion - Cryoprecipitate,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS72,Transfusion - IVIG,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS73,Transfusion - Other,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS65,Transfusion - Plasma (Cryo-poor),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS63,Transfusion - Plasma (FFP),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS64,Transfusion - Plasma (FP),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS62,Transfusion - pRBC,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS67a,Transfusion - Whole Blood (donor blood),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS67,Transfusion - Whole Blood (stored blood),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,TTSHT,Truforma TSH Test,,,,Each,Each,45.5,no,no,,91.0,0,,,,
,UCDHGT,UC Davis Hyperuricosuria Genetic Test,,,,Each,Each,0.0,no,no,,100.0,0,,,,
,UBS,Ultrasound - Butterfly (Single Organ),,,,Each,Each,0.0,no,no,,55.5,0,,,,
,FAST,Ultrasound - POCUS / FAST,,,,Each,Each,0.0,no,no,,125.0,0,,,,
,ULTPREG,Ultrasound - Pregnancy Check,,,,Each,Each,0.0,no,no,,115.0,0,,,,
,USCENT,Ultrasound Assisted Centesis,,,,Each,Each,0.0,no,no,,28.5,0,,,,
,ULTFNA,Ultrasound Guided Needle Biopsy,,,,Each,Each,0.0,no,no,,84.5,0,,,,
,ULTBIO,Ultrasound Guided Trucut Biopsy,,,,Each,Each,0.0,no,no,,143.5,0,,,,
,UOGFC,Univ. of Georgia - Flow Cytometry w/ CBC,,,,Each,Each,150.5,no,no,,238.5,0,,,,
,UOTXSX,Unplug Oxygen in TX/ SX,,,,Each,Each,,no,yes,0.00%,,0,,,,
,2326,Urinalysis w/ Reflex UPC,,,,Each,Each,31.09,no,no,,73.5,0,,,,
,NONBILL125,Urinary Catheter Care / Cleaning,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL162,VAC Care,,,,Each,Each,,no,yes,0.00%,,0,,,,
,1291,Vaccine Panel by SVN/HI—Canine Titer,,Vaccines,,Each,Each,39.45,no,no,,93.5,0,,,,
,I7290,VetScan Critical Care Plus,,,,Each,Each,18.0,no,no,,18.9,0,,,,
,WFLCTIL,Wash Fecal Loops/Cups/Trays in Lab,,,,Each,Each,,no,yes,0.00%,,0,,,,
,WDT,Water Deprivation Test,,,,Each,Each,85.0,no,no,,95.0,0,,,,
,VITALS01,Weight,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,170,Wound Care - Cleansing/Medicate,,,,Each,Each,0.0,no,no,,69.5,0,,,,
,XRCTTS,X-Ray - Clean Table Top/Sides,,,,Each,Each,,no,yes,0.00%,,0,,,,
,XRTB,X-Ray - Turn Off Breaker,,,,Each,Each,,no,yes,0.00%,,0,,,,
