XLS ID,XLS Product,XLS Supplier,Stockroom ID,Stockroom Product,Supplier To Use
S86601,Antech Mast Cell Tumor Prognostic Panel,"IDEXX, IAL, HSI",S86601,Antech Mast Cell Tumor Prognostic Panel,"IDEXX, IAL, HSI"
T390,Antech Microflaria Knott's Test,IAL,T390,Antech Microflaria Knott's Test,IAL
ANNEOC,Antech Neospora Caninum,IAL,ANNEOC,Antech Neospora Caninum,IAL
ANTPHENA,Antech Phenobarb Levels ( Add-On ),IAL,ANTPHENA,Antech Phenobarb Levels ( Add-On ),IAL
T750,Antech Phenobarbital Level,IAL,T750,Antech Phenobarbital Level,IAL
SA050,"Antech Pre-op CBC, CHEM9, PT, PTT, SDMA","IDEXX, IAL, HSI",SA050,"Antech Pre-op CBC, CHEM9, PT, PTT, SDMA","IDEXX, IAL, HSI"
ACPSL,Antech Precision PSL,IAL,ACPSL,Antech Precision PSL,IAL
T165,Antech PrecisionPSL,IAL,T165,Antech PrecisionPSL,IAL
ADD290,Antech PT/PTT ( Add- On),"IDEXX, IAL, HSI",ADD290,Antech PT/PTT ( Add- On),"IDEXX, IAL, HSI"
S1204,Antech Rabies Antibody Titer Non-Export,"BI, PATL, IDEXX, IAL, HSI",S1204,Antech Rabies Antibody Titer Non-Export,"BI, PATL, IDEXX, IAL, HSI"
SA311,Antech Renal Panel w/ SDMA,"IDEXX, IAL, HSI",SA311,Antech Renal Panel w/ SDMA,"IDEXX, IAL, HSI"
T1035,Antech SDMA,IAL,T1035,Antech SDMA,IAL
AC727,Antech Senior Wellness with Titers,IAL,AC727,Antech Senior Wellness with Titers,IAL
9978,Antech Sr Canine Wellness w/ Accuplex,IAL,9978,Antech Sr Canine Wellness w/ Accuplex,IAL
510023,Antech Synovial fluid analysis/cytology,"IDEXX, IAL, HSI",510023,Antech Synovial fluid analysis/cytology,"IDEXX, IAL, HSI"
T4,"Antech Thyroid T4 only,  Post Pill",IAL,T4,"Antech Thyroid T4 only,  Post Pill",IAL
SA380,"Antech Thyroid T4, FT4, cTSH",IAL,SA380,"Antech Thyroid T4, FT4, cTSH",IAL
T4PRO5,"Antech Thyroid T4, FT4ED, TSH, Thyroglob",IAL,T4PRO5,"Antech Thyroid T4, FT4ED, TSH, Thyroglob",IAL
SA330,Antech Tick Serology,IAL,SA330,Antech Tick Serology,IAL
T205,Antech Triglycerides,IAL,T205,Antech Triglycerides,IAL
910,Antech Urinalysis,IAL,910,Antech Urinalysis,IAL
3004,Antech Urine Delayed,"IDEXX, IAL, HSI",3004,Antech Urine Delayed,"IDEXX, IAL, HSI"
M130,Antech Urine MIC Culture,"IDEXX, IAL, HSI",M130,Antech Urine MIC Culture,"IDEXX, IAL, HSI"
T775,Antech Urine Protein / Creatine Reflex,"IDEXX, IAL, HSI",T775,Antech Urine Protein / Creatine Reflex,"IDEXX, IAL, HSI"
S17123,Antech Von Willebrand's Factor,IAL,S17123,Antech Von Willebrand's Factor,IAL
VAX002,Bordetella Injectable Vaccine,"BI, PATL",VAX002,Bordetella Injectable Vaccine,"BI, PATL"
VAX003,Bordetella Intranasal Vaccine,"BI, PATL",VAX003,Bordetella Intranasal Vaccine,"BI, PATL"
VAX004,Bordetella Oral Vaccine,"BI, PATL",VAX004,Bordetella Oral Vaccine,"BI, PATL"
CALEV,Calvenza Equine Vaccine,"BI, PATL",CALEV,Calvenza Equine Vaccine,"BI, PATL"
CEPTEXAS,Canine Enteropathogen Panel to Texas,"IDEXX, IAL, HSI",CEPTEXAS,Canine Enteropathogen Panel to Texas,"IDEXX, IAL, HSI"
T950,Canine GI PCR Fast Panel,"IDEXX, IAL, HSI",T950,Canine GI PCR Fast Panel,"IDEXX, IAL, HSI"
VAX005,Canine Influenza Vaccine H3N2,"BI, PATL",VAX005,Canine Influenza Vaccine H3N2,"BI, PATL"
VAX006,Canine Influenza Vaccine H3N8,"BI, PATL",VAX006,Canine Influenza Vaccine H3N8,"BI, PATL"
VAX007,Canine Influenza Vaccine H3N8 & H3N2 Bivalent Vaccine,"BI, PATL",VAX007,Canine Influenza Vaccine H3N8 & H3N2 Bivalent Vaccine,"BI, PATL"
ILYM,Canine Recombitek LYME,"BI, PATL",ILYM,Canine Recombitek LYME,"BI, PATL"
K9DNA,Canine Wisdom Panel Premium,"IDEXX, IAL, HSI",K9DNA,Canine Wisdom Panel Premium,"IDEXX, IAL, HSI"
IMRAB3Y,Canine/Feline Imrab 3yr Rabies (Single),"BI, PATL",IMRAB3Y,Canine/Feline Imrab 3yr Rabies (Single),"BI, PATL"
ICLNCAT,Clean Catch Urine Containers,"IDEXX, IAL, HSI",ICLNCAT,Clean Catch Urine Containers,"IDEXX, IAL, HSI"
NONBILL210,Collect Free Catch Urine Sample,"IDEXX, IAL, HSI",NONBILL210,Collect Free Catch Urine Sample,"IDEXX, IAL, HSI"
CHCOP,Colorado - Histopath w/ Copper Quan.,"IDEXX, IAL, HSI",CHCOP,Colorado - Histopath w/ Copper Quan.,"IDEXX, IAL, HSI"
CLHSP,Cornell AHDC Liver Histopat/Stain Panel,"IDEXX, IAL, HSI",CLHSP,Cornell AHDC Liver Histopat/Stain Panel,"IDEXX, IAL, HSI"
CSUCYT,CSU - Cytology,"IDEXX, IAL, HSI",CSUCYT,CSU - Cytology,"IDEXX, IAL, HSI"
6500,Cytology Resubmit - Reduced Charge,"IDEXX, IAL, HSI",6500,Cytology Resubmit - Reduced Charge,"IDEXX, IAL, HSI"
K3,DA2P + Leptospirosis 4 (#1),"BI, PATL",K3,DA2P + Leptospirosis 4 (#1),"BI, PATL"
KA,DA2P + Leptospirosis 4 Annual,"BI, PATL",KA,DA2P + Leptospirosis 4 Annual,"BI, PATL"
DSK,Dental Sample Kit,"AAHA, HSI",DSK,Dental Sample Kit,"AAHA, HSI"
T565,"Distemper, Parvo & Vaccine Titer","IDEXX, IAL, HSI, BI, PATL",T565,"Distemper, Parvo & Vaccine Titer","IDEXX, IAL, HSI, BI, PATL"
VITALS15,Empty Urine (UCS) & Note Urine Output,"IDEXX, IAL, HSI",VITALS15,Empty Urine (UCS) & Note Urine Output,"IDEXX, IAL, HSI"
VITALS401,Empty Urine (UCS) & Note Urine Output (ml/kg/hr),"IDEXX, IAL, HSI",VITALS401,Empty Urine (UCS) & Note Urine Output (ml/kg/hr),"IDEXX, IAL, HSI"
FEPPT,Feline Enteropathogen Panel to Texas,"IDEXX, IAL, HSI",FEPPT,Feline Enteropathogen Panel to Texas,"IDEXX, IAL, HSI"
VAX015,Feline Leukemia (FeLV) Vaccine,"BI, PATL",VAX015,Feline Leukemia (FeLV) Vaccine,"BI, PATL"
IFVL,Feline Purevax FeLV,"BI, PATL",IFVL,Feline Purevax FeLV,"BI, PATL"
FPR1Y0.5,Feline Purevax Rabies 1 Year 0.5ml Dose,"BI, PATL",FPR1Y0.5,Feline Purevax Rabies 1 Year 0.5ml Dose,"BI, PATL"
FIVPCR,FIV RealPCR Test add-on,"BI, PATL",FIVPCR,FIV RealPCR Test add-on,"BI, PATL"
VAX016,FIV Vaccine,"BI, PATL",VAX016,FIV Vaccine,"BI, PATL"
INTERCEP,Free Interceptor from Elanco for Employe,ELANCO,INTERCEP,Free Interceptor from Elanco for Employe,ELANCO
FVRCCP/Rabies Combo,FVRCCP/Rabies Combo,"BI, PATL",FVRCCP/Rabies Combo,FVRCCP/Rabies Combo,"BI, PATL"
TEXGI,GI Panel to Texas A&M,"IDEXX, IAL, HSI",TEXGI,GI Panel to Texas A&M,"IDEXX, IAL, HSI"
HESIVFP,Heska Vet/IV 2.2 Infusion Pump (Hospira),HSI,HESIVFP,Heska Vet/IV 2.2 Infusion Pump (Hospira),HSI
1766,Idexx Bladder Tumor Analyte (Canine),IDX,1766,Idexx Bladder Tumor Analyte (Canine),IDX
CANBNP,Idexx Canine Pro BNP (Add - On),IDX,CANBNP,Idexx Canine Pro BNP (Add - On),IDX
I405,Idexx Fungal Culture,"IDEXX, IAL, HSI, IDX",I405,Idexx Fungal Culture,"IDEXX, IAL, HSI, IDX"
9523I,Idexx General Senior Profile,IDX,9523I,Idexx General Senior Profile,IDX
4035,Idexx Urine Culture and MIC Sus.,"IDEXX, IAL, HSI, IDX",4035,Idexx Urine Culture and MIC Sus.,"IDEXX, IAL, HSI, IDX"
IDCCS,Imagyst Dig Cytology Cover Slips,"IDEXX, IAL, HSI",IDCCS,Imagyst Dig Cytology Cover Slips,"IDEXX, IAL, HSI"
IIR1Y,Imrab Rabies Vaccine (1 yr) K9- Feline,"BI, PATL",IIR1Y,Imrab Rabies Vaccine (1 yr) K9- Feline,"BI, PATL"
IHAT4,In House Abaxis T4 / Cholesterol,ABA,IHAT4,In House Abaxis T4 / Cholesterol,ABA
VSRAPCPL,In House Abaxis Vetscan Rapid CPL Test,ABA,VSRAPCPL,In House Abaxis Vetscan Rapid CPL Test,ABA
CYTI,In House Cytology,"IDEXX, IAL, HSI",CYTI,In House Cytology,"IDEXX, IAL, HSI"
DTM,In House Dermatophyte culture,"IDEXX, IAL, HSI",DTM,In House Dermatophyte culture,"IDEXX, IAL, HSI"
228,In House Ear swab / cytology,"IDEXX, IAL, HSI",228,In House Ear swab / cytology,"IDEXX, IAL, HSI"
FIVFELS,In House FIV/FeLV Combo Test,"BI, PATL",FIVFELS,In House FIV/FeLV Combo Test,"BI, PATL"
IHHC,In House Heska Cortisol,HSI,IHHC,In House Heska Cortisol,HSI
HCRP,In House Heska K9 C-Reactive Pro. (CCRP),HSI,HCRP,In House Heska K9 C-Reactive Pro. (CCRP),HSI
HNUQ,In House Heska Nu.Q Cancer Screening,HSI,HNUQ,In House Heska Nu.Q Cancer Screening,HSI
IHICYT,In house Imagyst Cytology,"IDEXX, IAL, HSI",IHICYT,In house Imagyst Cytology,"IDEXX, IAL, HSI"
IHICYTUR,In house Imagyst Cytology - Urgent,"IDEXX, IAL, HSI",IHICYTUR,In house Imagyst Cytology - Urgent,"IDEXX, IAL, HSI"
IHPTPTT,In House PT/PTT Combo Test,"IDEXX, IAL, HSI",IHPTPTT,In House PT/PTT Combo Test,"IDEXX, IAL, HSI"
231,In House Skin Scrape/Tape/Ear Cytology,"IDEXX, IAL, HSI",231,In House Skin Scrape/Tape/Ear Cytology,"IDEXX, IAL, HSI"
IHUS1,In House Urine Sediment,"IDEXX, IAL, HSI",IHUS1,In House Urine Sediment,"IDEXX, IAL, HSI"
IHUSG,In House Urine Specific Gravity (USG) (Record Vital),"IDEXX, IAL, HSI",IHUSG,In House Urine Specific Gravity (USG) (Record Vital),"IDEXX, IAL, HSI"
IHUS,In House Urine Strip,"IDEXX, IAL, HSI",IHUS,In House Urine Strip,"IDEXX, IAL, HSI"
PTTPTIH,InCoag aPTT/PT CWB Test Kit,"IDEXX, IAL, HSI",PTTPTIH,InCoag aPTT/PT CWB Test Kit,"IDEXX, IAL, HSI"
K4CUSCK,Kit4Cat Urine Sample Collection Kit,"IDEXX, IAL, HSI",K4CUSCK,Kit4Cat Urine Sample Collection Kit,"IDEXX, IAL, HSI"
VAX019,Leptospirosis (4 serovar) Vaccine,"BI, PATL",VAX019,Leptospirosis (4 serovar) Vaccine,"BI, PATL"
VAX020,Lyme Vaccine,"BI, PATL",VAX020,Lyme Vaccine,"BI, PATL"
IMICHT4,Michigan State Premium Thyroid Panel,"IDEXX, IAL, HSI",IMICHT4,Michigan State Premium Thyroid Panel,"IDEXX, IAL, HSI"
MCTPPH,MSU MCT Prognostic Panel w/ Histopath,"IDEXX, IAL, HSI",MCTPPH,MSU MCT Prognostic Panel w/ Histopath,"IDEXX, IAL, HSI"
NCSUVBD,NCSU Vector Borne Disease Comp Panel,"IDEXX, IAL, HSI",NCSUVBD,NCSU Vector Borne Disease Comp Panel,"IDEXX, IAL, HSI"
OM-PHC3OZ,OM Purina Hydracare 3oz Sachet,"PURINA, PUR",OM-PHC3OZ,OM Purina Hydracare 3oz Sachet,"PURINA, PUR"
OM-REJJC30,OM Rejensa Joint Care Chew 30ct Tub,"NMX, PATT, PATL",OM-REJJC30,OM Rejensa Joint Care Chew 30ct Tub,"NMX, PATT, PATL"
OM-REJJCC60,OM Rejensa Joint Care Chew 60ct Tub,"NMX, PATT, PATL",OM-REJJCC60,OM Rejensa Joint Care Chew 60ct Tub,"NMX, PATT, PATL"
OM-IT8B,OM TrizEDTA 4oz + Baytril 12ml OTIC,"TMI, ISPI",OM-IT8B,OM TrizEDTA 4oz + Baytril 12ml OTIC,"TMI, ISPI"
OM-ITRIZ16,OM TRIZEDTA Flush 16oz Bottle,"TMI, ISPI",OM-ITRIZ16,OM TRIZEDTA Flush 16oz Bottle,"TMI, ISPI"
IONC,Oxygen Nasal Cannula,"TMI, ISPI",IONC,Oxygen Nasal Cannula,"TMI, ISPI"
PROPCN,Purina CN Canine/Feline Can,"PURINA, PUR",PROPCN,Purina CN Canine/Feline Can,"PURINA, PUR"
IENK9LFC,Purina EN K-9 Low Fat 13.4oz Can,"PURINA, PUR",IENK9LFC,Purina EN K-9 Low Fat 13.4oz Can,"PURINA, PUR"
IENK9LF,Purina EN K-9 Low Fat 6#,"PURINA, PUR",IENK9LF,Purina EN K-9 Low Fat 6#,"PURINA, PUR"
PURDM10,Purina Feline DM 10# Bag,"PURINA, PUR",PURDM10,Purina Feline DM 10# Bag,"PURINA, PUR"
IDMFC,Purina Feline DM 5.5oz Can,"PURINA, PUR",IDMFC,Purina Feline DM 5.5oz Can,"PURINA, PUR"
DMFCSSG,Purina Feline DM SS w/Gravy 5.5oz Can,"PURINA, PUR",DMFCSSG,Purina Feline DM SS w/Gravy 5.5oz Can,"PURINA, PUR"
IPFENC,Purina Feline EN 5.5oz Can,"PURINA, PUR",IPFENC,Purina Feline EN 5.5oz Can,"PURINA, PUR"
PENF,Purina Feline EN 6# bag,"PURINA, PUR",PENF,Purina Feline EN 6# bag,"PURINA, PUR"
IPFHA8,Purina Feline HA 8# bag,"PURINA, PUR",IPFHA8,Purina Feline HA 8# bag,"PURINA, PUR"
PFNFAC,Purina Feline NF Advanced Care 5.5 oz,"PURINA, PUR",PFNFAC,Purina Feline NF Advanced Care 5.5 oz,"PURINA, PUR"
