Name,Category,Secondary Category,Quantity,Ordering UoM,Last Count Date,Last Price,Total Cost
"Betacilin Clav Drops (Amoxicillin and Clavulanate Potassium for Oral Suspension) 62.5mg/mL, 15mL",Pharmaceuticals,Antimicrobial Agents,3,box,04/21/2026 19:58:59,13.31,39.93
Biopsy Skin Punch: 2mm,Diagnostics Exam,Biopsy,1,each,04/21/2026 20:40:30,2.46,2.46
Biopsy Skin Punch: 8mm,Diagnostics Exam,Biopsy,4,each,11/21/2025 19:33:44,2.72,10.88
"Blockade Surgical Reusable Gown: Non-Sterile, X-Large, 1 Each",Apparel and Drapes,Gowns,2,each,01/15/2026 20:54:43,19.32,38.64
"Boston Round Bottle with Red Yorker Cap: 4oz, 25 Count",Facility Supplies,"Bags, Bottles and Jars",0.68,bag,01/29/2026 20:43:57,12.43,8.45
"Boston Round Bottle with Red Yorker Cap: 8oz, 25 Count",Facility Supplies,"Bags, Bottles and Jars",0.76,order unit,11/08/2025 15:14:47,18.12,13.77
"Bouffant Surgical Cap: 24"", 100 Count",Apparel and Drapes,Caps,0.7,box,11/14/2025 19:33:44,6.18,4.33
Bupivacaine HCl Inj USP 0.5% 50mL Flip Top Vial:B25,,,0.92,tray,03/30/2026 15:00:59,84.62,77.85
"Buprenorphine (AQ BM) 0.5 mg / mL Suspension, 120 mL, Chicken",Pharmaceuticals,Compounded Medication,0.7,bottle,04/21/2026 20:12:31,95.00,66.50
BUPRENORPHINE 0.3MG/ML(CIII) 5X1ML VIALS,Pharmaceuticals,Analgesics,1,box,03/30/2026 15:33:20,81.18,81.18
"Bur: #8, Surgical, Round, Friction Grip, 10 Count",Dentistry,Burs/Finishing,1,order unit,11/21/2025 19:32:43,,
Butterfly Catheters 21x.75 w/12in Tubing:EACH,,,0,needle,02/26/2026 21:49:23,0.73,0.00
"C.E.T.® Enzymatic Tartar Control Toothpaste: Vanilla-Mint, 70g",Nutraceuticals,Dental Care,1,tube,03/10/2026 16:45:00,8.23,8.23
Calcium Gluconate 23%:500CC,,,0.8,bottle,11/14/2025 19:38:39,4.66,3.73
"Capstar Tablets Green: 57mg (Dogs over 25lbs), 6 Doses",Parasiticides,Ext Parasiticides Insecticides,1,box,01/29/2026 20:53:48,29.19,29.19
Carbide Bur Crosscut Fissure Taper Long: 10 Count,Dentistry,Burs/Finishing,1.5,package,03/30/2026 15:02:42,28.26,42.39
"Carprovet (Carprofen) Flavored Tablets for Dogs 100mg, 180 Count",Pharmaceuticals,Antiinflammatories,0.1,bottle,04/21/2026 19:55:51,91.29,9.13
"Carprovet (Carprofen) Flavored Tablets for Dogs 25mg, 180 Count",Pharmaceuticals,Antiinflammatories,0.92,bottle,04/06/2026 20:20:31,62.60,57.59
"Carprovet (Carprofen) Flavored Tablets for Dogs 75mg, 180 Count",Pharmaceuticals,Antiinflammatories,1.82,bottle,04/21/2026 19:55:56,72.23,131.46
Cat Lax:2OZ,,,1,tube,04/06/2026 20:10:50,5.80,5.80
Catheter Slippery Sam Tom Cat Urethral:EACH,,,3,order unit,03/30/2026 15:00:22,16.74,50.22
Cefazolin Sodium: 1g/vial,Pharmaceuticals,Antimicrobial Agents,13,vial,05/04/2026 16:44:21,1.65,21.45
"Cefpoderm® (cefpodoxime proxetil) Tablets: 200 mg, 100 count",Pharmaceuticals,Antimicrobial Agents,0.03,bottle,04/21/2026 20:36:01,84.96,2.55
"Cefpodoxime Proxetil Tablets 100mg, 100 Count",Pharmaceuticals,Antimicrobial Agents,0.73,bottle,04/21/2026 19:59:08,38.03,27.76
"Cephalexin Capsules 500mg, 500 Count",,,0.09,bottle,04/21/2026 20:49:33,39.42,3.55
"Cephalexin Capsules: 250mg, 500 Count",Pharmaceuticals,Antimicrobial Agents,1.16,bottle,11/14/2025 19:21:03,22.06,25.59
"CeraDerm Aloe and Oatmeal Conditioning Shampoo for Dogs or Cats, 1 Gallon",,,0.3,order unit,03/30/2026 15:07:03,39.43,11.83
"Cerenia (Maropitant Citrate) Antiemetic Injectable Solution 10mg/mL, 20mL",Pharmaceuticals,Antiemetics,0.25,vial,04/21/2026 20:05:26,210.80,52.70
Chamber Brite Powdered Cleaner: 10 Count,Autoclaves and Inst Cleaners,Autoclaves Parts and Acc,1,box,02/26/2026 20:50:02,54.92,54.92
Chlorhexidine 2% Solution: 1 Gallon,Pharmaceuticals,Antiseptics,0,gallon,04/06/2026 20:58:28,7.95,0.00
Chlorhexidine 4% Scrub with  Aloe Vera: 1 Gallon,Facility Supplies,Antiseptics Scrubs Soap,1.25,bottle,04/21/2026 20:11:39,35.56,44.45
"Chlorpheniramine Tablets: 4mg, 1000 Count",Pharmaceuticals,Antihistamine,0.78,bottle,12/04/2025 16:04:47,5.87,4.58
"Ciprofloxacin Ophthalmic Solution, 0.3% 5 mL Each",,,2,order unit,04/21/2026 19:56:19,7.06,14.12
"Ciprofloxacin Tablets: 250mg, 100 Count",Pharmaceuticals,Antimicrobial Agents,1,order unit,03/10/2026 16:27:04,8.45,8.45
"Ciprofloxacin Tablets: 500mg, 100 Count",Human Generics,HUM-Not Applicable,1.71,bottle,03/23/2026 16:31:59,13.61,23.27
Clean-Catch Disposable Cup: 120 Count,Diagnostics Laboratory,Urine Collection,0.37,box,03/23/2026 18:14:38,51.58,19.08
Clindamycin Capsule 75mg:B100,,,0.4,bottle,04/21/2026 19:59:15,27.81,11.12
"Clindamycin Hcl Capsules: 150Mg, 100 Count",Pharmaceuticals,Antimicrobial Agents,1.03,bottle,04/06/2026 20:23:25,7.70,7.93
"Clindamycin Hydrochloride Capsules, USP, 150 mg 100 Count Each",Pharmaceuticals,Antimicrobial Agents,1.23,bottle,03/30/2026 15:10:40,6.28,7.72
"Clindoral Kit 2% Gel: 0.5ml Syringe, 4 Count",Pharmaceuticals,Dental Care Preparations,0.25,box,04/06/2026 19:47:54,153.80,38.45
"Clopidogrel Tablets 75mg, 90 Count",,,0.19,bottle,03/23/2026 19:01:59,7.64,1.45
"ComforTrate (Maropitant Citrate) Antiemetic Tablets for Dogs 16mg, 60 Count",Pharmaceuticals,Antiemetics,0.18,bottle,04/21/2026 20:37:21,0.00,0.00
ComforTrate Tablet 24mg:B60,,,0,bottle,04/21/2026 20:37:24,157.93,0.00
ComforTrate Tablet 60mg:B60,,,0.45,bottle,03/23/2026 16:32:04,287.58,129.41
Conforming Stretch Bandage 2in x 75in:P12,,,0.33,order unit,03/30/2026 15:00:34,3.22,1.06
"Convenia (Cefovecin Sodium) Antimicrobial Injection 80mg/mL, 10mL",Pharmaceuticals,Antimicrobial Agents,0.3,vial,04/21/2026 20:32:07,423.50,127.05
"Cosyntropin for Injection 0.25mg, 1mL:",,,1,vial,03/30/2026 15:01:43,85.60,85.60
"Cotton Tip Applicators 6"" Sterile, 100 Packs of 2",Wound Care and White Goods,Cotton Rolls Balls Applicators,1,order unit,04/06/2026 19:47:58,6.01,6.01
"Cotton Tipped Applicator: 6"", 1000 Count",Wound Care and White Goods,Cotton Rolls Balls Applicators,0.3,box,12/04/2025 16:07:57,5.64,1.69
Cough Tablets: 250 Count,Pharmaceuticals,Antitussives,0.15,bottle,01/05/2026 20:31:46,65.98,9.90
"Credelio Chewable Tablets for Cats and Kittens: 2-4 lbs. (Purple), 12 mg, 1 Dose x 16 Count",Parasiticides,Ext Parasiticides Insecticides,1.19,carton,04/21/2026 20:22:44,190.40,226.58
"Credelio Chewable Tablets for Cats: 4.1-17 lbs. (Teal), 48 mg, 3 Doses x 16 Count",Parasiticides,Ext Parasiticides Insecticides,0.46,carton,03/23/2026 18:12:02,599.84,275.93
Cryogen-X Blades: Size 10,Grooming,Clippers and Blades,0.8,each,02/26/2026 20:53:14,28.27,22.62
"Cytopoint: 10mg (Up to 10lb), 1 Vial (Ordered in Multiples of 10)",Pharmaceuticals,Dermatologic Preparations,3,vial,04/21/2026 20:05:29,28.55,85.65
"Cytopoint: 20mg (10.1-20lb), 1 Vial (Ordered in Multiples of 10)",Pharmaceuticals,Dermatologic Preparations,0,vial,04/21/2026 20:05:38,37.90,0.00
