term_type,canonical_name,aliases,category,active,priority,confidence,metadata_json
medication,Antech Dexamethasone Suppression Test,Antech Dexamethasone Suppression Test,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Antech Fastpanel PCR Fel Flea/Tick,Antech Fastpanel PCR Fel Flea/Tick,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Antech Feline Heartworm Antig. + Antib.,Antech Feline Heartworm Antig. + Antib.,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Antech Phenobarbital Level,Antech Phenobarbital Level,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Antech Rabies Antibody Titer Non-Export,Antech Rabies Antibody Titer Non-Export,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Antech Tick Serology,Antech Tick Serology,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Antisedan ( Atipamazole ) 5mg/ml INJ,Antisedan ( Atipamazole ) 5mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Aranesp (Darbepoetin) 25 mcg/1ml,Aranesp (Darbepoetin) 25 mcg/1ml,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,ASO-G Anal Sac Ointment,ASO-G Anal Sac Ointment,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Atropine Sulfate 0.54mg/ml INJ,Atropine Sulfate 0.54mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
